選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
篠原　響,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*菅井　信也,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*杉山　遙希,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
炭谷　銀仁朗,40,88,81,4,19,4,0,0,23,4,0,1,3,0,3,0,1,18,3,0.235,0.284,0.271
*隅田　知一郎,23,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
セデーニョ,74,243,224,13,51,6,1,7,80,26,0,0,0,2,15,0,2,50,9,0.228,0.357,0.28
*平良　海馬,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
髙橋　光成,24,5,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0.25,0.25,0.25
*髙松　渡,27,19,17,4,1,0,0,0,1,0,7,1,2,0,0,0,0,8,0,0.059,0.059,0.059
*滝澤　夏央,125,438,385,31,90,4,0,0,94,14,21,7,23,0,28,0,2,67,2,0.234,0.244,0.289
*武内　夏暉,12,5,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0,0,0,0.25
*田村　伊知郎,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
柘植　世那,13,17,16,2,2,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0.125,0.125,0.176
デービス,36,131,113,8,23,3,0,3,35,9,0,0,0,0,17,0,1,24,4,0.204,0.31,0.313
外崎　修汰,115,415,359,29,84,13,1,5,114,34,6,2,5,8,39,3,4,72,11,0.234,0.318,0.31
#NAME?,60,96,87,14,20,2,0,0,22,3,1,3,3,0,4,0,2,13,2,0.23,0.253,0.28
*仲三河　優太,5,10,9,0,2,0,1,0,4,5,0,0,0,1,0,0,0,6,0,0.222,0.444,0.2
中村　剛也,44,110,96,3,23,5,0,3,37,10,0,0,0,0,13,2,1,28,2,0.24,0.385,0.336
中村　祐太,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*西川　愛也,124,553,507,64,134,26,3,10,196,38,25,7,2,3,32,1,9,80,4,0.264,0.387,0.318
ネビン,137,570,509,51,141,24,0,21,228,63,2,1,0,5,45,6,11,78,13,0.277,0.448,0.346
野村　大樹,13,36,35,1,6,1,0,0,7,2,0,0,1,0,0,0,0,9,0,0.171,0.2,0.171
長谷川　信哉,132,450,400,42,90,16,3,6,130,36,9,4,9,5,33,1,3,56,11,0.225,0.325,0.286
*羽田　慎之介,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*浜屋　将太,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*平沢　大河,7,17,17,1,1,1,0,0,2,0,0,0,0,0,0,0,0,4,0,0.059,0.118,0.059
*平沼　翔太,60,164,156,13,34,3,1,0,39,11,5,0,1,1,4,1,2,32,0,0.218,0.25,0.245
*蛭間　拓哉,12,37,34,0,6,0,0,0,6,0,0,0,2,0,1,0,0,8,0,0.176,0.176,0.2
古市　尊,10,19,18,1,8,0,0,0,8,0,0,0,0,0,1,0,0,1,0,0.444,0.444,0.474
古川　雄大,5,16,12,1,1,0,0,0,1,0,0,1,0,0,4,0,0,4,1,0.083,0.083,0.313
ボー・タカハシ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*牧野　翔矢,29,67,61,3,13,0,1,0,15,0,1,0,4,0,2,0,0,22,0,0.213,0.246,0.238
*松原　聖弥,8,24,22,1,6,1,0,0,7,0,0,0,2,0,0,0,0,6,0,0.273,0.318,0.273
松本　航,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
豆田　泰志,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
水上　由伸,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
村田　怜音,23,85,82,3,16,4,0,2,26,9,0,0,0,0,2,0,1,32,2,0.195,0.317,0.224
モンテル,12,11,11,1,1,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0.091,0.091,0.091
*元山　飛優,49,93,85,3,13,8,0,0,21,5,0,0,7,0,1,0,0,15,1,0.153,0.247,0.163
山田　陽翔,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山野辺　翔,5,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
*山村　崇嘉,71,231,211,14,52,8,1,4,74,20,0,3,1,3,14,0,2,36,2,0.246,0.351,0.296
與座　海人,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Ｅ．ラミレス,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
渡部　聖弥,109,452,425,42,110,16,3,12,168,43,2,3,0,2,21,2,4,85,11,0.259,0.395,0.299
渡邉　勇太朗,23,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
